coord_lat,coord_lon,temp,feels_like,temp_min,temp_max,humidity,wind_speed,wind_deg,clouds_all,rain_1h
36,140,292.97,292.65,289.89,295.91,63,2.57,300,75,
36,140,289.74,288.81,287.18,291.45,52,2.55,336,22,
36,140,288.12,287.11,282.29,289.23,55,2.33,311,9,
36,140,292.79,291.96,291.45,294.78,44,0.53,334,0,
36,140,295.86,295.28,293.29,296.46,42,2.13,86,0,
36,140,291.84,291.25,286.29,293.68,57,1.79,122,85,
36,140,289.64,289.07,284.29,291.45,66,1.89,75,82,
36,140,292.83,292.45,291.12,295.44,61,2.07,66,100,
36,140,295.26,294.68,293.11,295.9,44,1.74,113,82,0.46
36,140,291.98,291.8,287.29,294.79,72,1.63,178,25,
36,140,289.63,289.37,284.29,290.9,78,0.75,103,20,
36,140,294.2,293.88,292.56,296.07,58,1.29,328,0,
36,140,297.1,296.6,294.11,297.57,40,1.7,220,0,
36,140,292.9,292.73,289.34,294.79,69,2.37,184,0,
36,140,290.2,289.53,283.29,291.45,60,1.46,280,0,
36,140,295.18,294.48,292.29,297.69,40,2.01,316,0,
36,140,299.22,299.22,295.29,300.35,30,1.97,89,0,
36,140,293.71,293.28,285.29,296.45,56,1.6,66,0,
36,140,288.42,287.54,283.29,292.01,59,1.16,21,0,
36,140,294.09,293.41,292.01,296.46,45,0.73,326,0,
36,140,298.06,297.6,296.34,299.24,38,2.96,189,0,
36,140,294.36,294.44,290.34,296.45,73,2.13,144,0,
36,140,290.12,289.52,288.28,292.56,63,2.34,196,3,
36,140,294.79,294.32,293.68,297.34,50,1.89,223,81,
36,140,298.58,298.41,296.11,299.8,47,2.66,168,93,
36,140,294.63,294.24,289.29,297.01,54,3.82,67,95,
36,140,292.74,292.43,289.33,294.4,64,3.16,60,100,
36,140,295.48,295.67,294.29,296.44,73,5.14,60,75,
36,140,296.67,296.57,294.29,297.56,57,4.01,65,86,
36,140,293.3,293.49,291.34,294.79,81,1.75,71,0,
36,140,291.68,291.86,289.89,293.68,87,1.2,106,15,
36,140,296.01,295.79,294.4,297.66,55,6.59,190,15,
36,140,295.98,296.22,294.11,297.02,73,6.17,180,75,
36,140,296.41,296.83,294.29,297.56,78,8.93,187,100,1.5
36,140,296.51,296.96,295.29,297.14,79,11.36,189,100,0.32
36,140,297.61,298.28,296.12,298.68,83,8.75,210,75,0.92
36,140,299.32,299.32,298.11,299.78,59,1.52,306,86,
36,140,293.18,292.78,291.34,294.79,59,2.78,16,74,
36,140,290.44,289.63,285.34,292.01,54,1.3,18,29,
36,140,292.61,291.68,292.11,293.16,41,1.98,90,0,
36,140,295.62,294.91,292.29,296.46,38,3.77,108,0,
36,140,290.6,289.81,288.34,293.12,54,2.8,107,5,
36,140,288.97,288.17,283.29,290.9,60,1.27,55,4,
36,140,291.94,291.13,291.11,292.29,48,1.63,115,7,
36,140,294.36,294,292.29,295.91,56,2.57,90,75,
36,140,292.95,292.53,288.34,294.79,59,1.58,141,48,
36,140,289.86,289.26,283.29,290.9,64,1.44,125,39,
36,140,290.88,290.46,290.11,292.34,67,2.3,251,100,0.95
36,140,290.32,289.97,289.28,291.45,72,3.63,196,100,0.64
36,140,288.56,287.91,287.28,290.34,67,2.69,302,100,
36,140,289.38,288.96,286.29,290.34,73,0.34,330,88,
36,140,288.34,287.09,286.29,288.81,45,3.11,54,100,
36,140,287.67,286.3,286,288.25,43,2.96,118,100,
36,140,286.9,285.77,283.78,288.68,55,3.17,111,100,
36,140,283.95,282.6,283.29,284.36,58,3.11,76,99,0.13
36,140,283.25,282.35,281.34,284.4,78,2.4,18,100,1.27
36,140,284.76,283.99,283.11,285.9,77,2.57,10,100,0.21
36,140,283.62,282.71,282.11,284.4,76,3.14,6,100,0.19
36,140,281.7,279.28,281,282.14,79,4.18,9,100,
36,140,283.13,282.53,283.12,285.11,66,1.75,46,100,
36,140,288.88,287.32,287.29,289.92,31,6.69,290,20,
36,140,284.03,281.98,282,285.9,31,7.74,314,0,
36,140,283.51,281.54,279.34,284.79,36,4.68,319,0,
36,140,287.88,286.14,286.34,289.4,28,3.96,294,0,
36,140,290.92,289.46,289.34,290.94,27,2.55,198,1,
36,140,287.5,286.3,283.34,289.79,50,1.66,103,100,
36,140,284.37,283.45,283.11,285.9,73,4.13,47,98,
36,140,286.39,285.6,285.94,288.34,70,2.85,16,98,
36,140,287.67,286.74,286.29,288.29,60,2.31,61,99,
36,140,285.23,284.35,283.11,287.56,71,1.49,337,5,
36,140,282.85,282.62,280.34,284.23,74,1.35,12,0,
36,140,287.26,286.01,285.9,289.8,49,2.08,14,0,
36,140,290.84,289.81,289.29,291.44,44,3.37,73,23,
36,140,288.12,287.5,285.34,289.79,70,1.64,38,100,
36,140,285.7,285.02,283.29,286.45,77,1.28,359,100,0.4
36,140,285.31,284.75,284.12,287.29,83,1.34,232,100,1.03
36,140,286.61,286.62,285.44,287.56,100,3.6,240,100,
36,140,285.61,284.92,284.78,287.66,77,1.62,224,56,
36,140,285.41,284.49,283.29,287.11,69,2.91,172,29,
36,140,290.05,288.74,288.29,290.51,36,2.82,328,4,
36,140,290.05,288.4,286.29,290.9,23,2.98,229,55,
36,140,283.76,281.74,281.29,285.34,33,3.21,240,0,
36,140,282.46,281.42,280.51,283.68,32,2.14,199,3,
36,140,288.05,286.38,287.56,290.44,30,3.68,231,0,
36,140,293.95,292.92,291.11,294.4,32,1.51,186,4,
36,140,287.9,286.97,281.29,290.9,59,0.41,123,0,
36,140,285.24,284.15,277.29,285.34,63,2.03,319,0,
36,140,289.82,288.51,288.29,291.46,37,6.26,292,6,
36,140,290.45,289.07,289.27,291.07,32,9.37,335,2,
36,140,285.29,283.58,283.22,286.45,39,4.75,322,0,
36,140,282.53,282.04,277.34,284.23,48,1.55,312,0,
36,140,285.66,283.98,284.79,287.6,39,1.31,232,0,
36,140,292.04,291.21,288.11,293.13,47,3.91,207,1,
36,140,287.82,287.22,280.29,288.68,72,1.4,335,0,
36,140,284.2,282.61,277.29,284.23,48,1.5,325,0,
36,140,287.62,286.11,285.9,290.51,38,1.57,295,0,
36,140,294.16,293.26,291.11,295.44,36,1.4,200,0,
36,140,289.28,289.14,286.34,290.9,84,2.09,163,0,
36,140,286.52,285.56,285.34,287.01,63,1.1,267,17,
36,140,289.11,287.83,288.11,290.94,41,1.53,296,19,
36,140,293.92,293.36,292.29,294.79,50,2.74,208,85,
36,140,289.64,288.89,287.34,289.79,59,1.93,230,0,
36,140,286.91,285.99,280.29,287.01,63,1.4,220,0,
36,140,293.72,292.98,292.29,295.34,44,0.92,339,0,
36,140,296.94,295.98,294.33,298.67,23,5.19,319,0,
36,140,287.52,285.87,286.44,288.25,33,4.64,328,0,
36,140,283.77,281.98,281.07,285.34,42,2.9,34,21,
36,140,285.46,283.58,283.34,286.44,32,1.5,23,89,
36,140,287.64,285.82,285.29,288.68,26,3.82,291,20,
36,140,283.7,281.62,281.34,285.34,31,0.16,96,33,
36,140,281.73,281.06,279.29,282.14,42,1.61,47,100,
36,140,281.59,279.89,279.11,283.29,52,2.84,13,100,
36,140,281.33,279.12,280.89,282.18,87,3.6,10,100,
36,140,281.86,280.99,280.29,282.18,69,1.83,312,100,
36,140,281.86,281.86,280.44,282.18,58,1.2,342,68,
36,140,285.64,284.22,284.34,287.57,49,1.57,281,0,
36,140,289.63,288.4,287.11,290.51,41,1.23,197,0,
36,140,285.59,284.46,282.18,287.56,60,0.79,1,0,
36,140,285,283.86,283.13,288.34,62,1.17,259,4,
36,140,288.82,287.57,286.45,294.34,43,1.5,295,0,
36,140,294.2,293.33,292.34,296.46,37,4.63,290,75,
36,140,285.42,283.36,284.78,286.49,25,6.35,267,0,
36,140,283.89,281.91,276.34,285.9,34,2.24,324,0,
36,140,287.69,285.96,286.29,288.29,29,1.46,278,0,
36,140,291.03,289.5,289.11,291.58,24,2.22,217,0,
36,140,286.2,284.58,282.29,288.68,39,1.38,2,9,
36,140,284.42,282.78,276.34,285.9,45,1.8,290,72,
36,140,287.29,285.65,286.29,289.4,34,3.23,294,0,
36,140,289.74,288.16,287.34,290.33,27,5.88,349,32,
36,140,283.2,281.31,280.34,285.34,40,1.57,54,25,
36,140,281.55,280.27,278.34,283.68,40,2.25,106,81,
36,140,283.44,281.33,281.29,283.68,31,0.86,140,74,
36,140,285.97,284.33,284.11,286.58,39,2.49,155,96,
36,140,282.42,280.93,280.34,283.68,41,2.76,360,53,
36,140,280.2,279.62,273.29,281.45,54,1.35,344,1,
36,140,283.93,282.21,281.45,286.03,44,2.68,347,1,
36,140,287.53,285.89,285.29,288.25,33,2.05,24,6,
36,140,282.76,281.53,279.4,285.34,48,2.48,56,8,
36,140,280.87,279.94,273.29,280.9,53,1.74,348,7,
36,140,283.14,282.58,281.34,285.89,46,1.71,275,5,
36,140,288.51,287.17,286.29,289.22,41,1.99,241,3,
36,140,283.4,281.37,282.02,284.79,34,6.32,296,4,
36,140,281.67,279.45,278.34,283.67,44,3.76,321,0,
36,140,284.26,282.47,283.34,285.51,40,1.41,338,0,
36,140,287.21,285.48,286.11,287.6,31,1.05,184,2,
36,140,286.04,284.48,274.29,286.45,42,1.5,91,2,
36,140,281.42,280.87,272.29,281.45,43,1.46,59,36,
36,140,281.44,280.01,279.34,282.01,44,2.42,8,100,
36,140,283.56,281.83,282.11,284.4,45,1.22,329,100,
36,140,283.31,281.84,282.02,284.23,56,1.89,304,100,1.33
36,140,282.12,280.53,280.34,283.12,85,2.83,359,100,
36,140,285.79,284.68,284.29,287.14,60,2.65,341,78,
36,140,289.83,288.96,287.34,290.35,54,2.05,74,42,
36,140,285.27,284.5,280.29,287.56,75,1.77,142,100,
36,140,284.11,283.25,277.29,285.34,76,2.34,114,74,
36,140,288.22,287.3,285.34,291.34,58,2.71,266,0,
36,140,293.97,292.94,290.44,294.92,32,5.26,299,0,
36,140,284.91,283.11,283.29,285.47,37,5.61,335,0,
36,140,283.27,281.36,279.34,285.34,39,3.28,305,0,
36,140,287.42,285.79,286.29,288.72,34,3.24,297,0,
36,140,290.53,289.32,289.29,290.89,38,3.14,201,0,
